"year","month","day","sex"
1978,1,10,"M"
1978,1,10,"F"
1978,2,18,"M"
1978,2,18,"F"
1978,2,19,"F"
1978,2,19,
1978,2,19,"M"
1978,2,19,"F"
1978,2,19,"F"
1978,2,19,"F"
1978,2,19,"F"
1978,2,19,"F"
1978,2,19,"M"
1978,2,20,"F"
1978,2,20,"F"
1978,3,11,"F"
1978,3,11,"F"
1978,3,11,"M"
1978,3,11,"F"
1978,3,11,"M"
1978,3,12,"M"
1978,3,12,"M"
1978,3,12,"F"
1978,3,12,"F"
1978,3,12,"F"
1978,3,12,"F"
1978,3,12,"F"
1978,3,12,"M"
1978,3,12,"F"
1978,3,12,"M"
1978,3,12,"F"
1978,3,13,"M"
1978,3,13,"F"
1978,3,13,"F"
1978,4,8,"F"
1978,4,8,"M"
1978,4,8,"M"
1978,4,8,"F"
1978,4,8,"F"
1978,4,8,"M"
1978,4,8,"F"
1978,4,8,"M"
1978,4,9,"F"
1978,4,9,"M"
1978,4,9,"F"
1978,4,9,"M"
1978,4,9,"F"
1978,4,9,"M"
1978,4,9,"F"
1978,4,9,"M"
1978,4,9,"M"
1978,4,9,"F"
1978,4,9,"F"
1978,4,9,"F"
1978,4,9,"F"
1978,4,9,"F"
1978,4,9,"F"
1978,4,9,"F"
1978,4,10,"M"
1978,4,10,"F"
1978,4,10,"F"
1978,4,10,"F"
1978,4,10,"F"
1978,4,10,"M"
1978,5,6,"M"
1978,5,6,"F"
1978,5,6,"F"
1978,5,6,"M"
1978,5,6,"M"
1978,5,6,"F"
1978,5,6,"F"
1978,5,6,"F"
1978,5,6,"F"
1978,5,6,"M"
1978,5,6,"F"
1978,5,6,"F"
1978,5,17,"M"
1978,5,17,"M"
1978,5,17,"F"
1978,5,17,"F"
1978,5,17,"F"
1978,5,17,"F"
1978,5,17,"M"
1978,5,17,"F"
1978,5,17,"F"
1978,5,18,"M"
1978,5,18,"M"
1978,5,18,"F"
1978,5,18,"M"
1978,5,18,"F"
1978,5,18,"F"
1978,5,18,"M"
1978,5,18,"F"
1978,5,18,"F"
1978,5,18,"M"
1978,5,18,"F"
1978,5,19,"F"
1978,5,19,"M"
1978,5,19,"F"
1978,5,19,"M"
1978,5,19,"F"
1978,5,19,"M"
1978,5,19,"F"
1978,5,19,"F"
1978,5,19,"M"
1978,5,19,"F"
1978,5,19,"F"
1978,6,8,"M"
1978,6,8,"F"
1978,6,8,"M"
1978,6,8,"F"
1978,6,8,"F"
1978,6,8,"F"
1978,6,8,"F"
1978,6,8,"M"
1978,6,8,"F"
1978,6,8,"F"
1978,6,8,"F"
1978,6,8,"M"
1978,6,8,"F"
1978,6,8,"F"
1978,6,8,"F"
1978,6,8,"F"
1978,6,8,"F"
1978,6,8,"M"
1978,6,8,"F"
1978,6,9,
1978,6,9,"M"
1978,6,9,"M"
1978,6,9,"F"
1978,6,9,"M"
1978,6,9,"F"
1978,6,9,"F"
1978,6,9,"M"
1978,6,9,"F"
1978,6,9,"M"
1978,6,9,"F"
1978,6,9,"M"
1978,6,9,"M"
1978,6,9,"F"
1978,6,9,"F"
1978,6,9,"F"
1978,6,9,"F"
1978,6,9,"M"
1978,6,9,"F"
1978,6,9,"M"
1978,7,7,"F"
1978,7,7,"F"
1978,7,7,"M"
1978,7,7,"M"
1978,7,7,"F"
1978,7,7,"F"
1978,7,7,"F"
1978,7,7,"F"
1978,7,7,"F"
1978,7,7,"F"
1978,7,7,"F"
1978,7,7,"M"
1978,7,7,"F"
1978,7,7,"F"
1978,7,7,"F"
1978,7,7,"M"
1978,7,7,"F"
1978,7,8,"M"
1978,7,8,"M"
1978,7,8,"F"
1978,7,8,"F"
1978,7,8,"M"
1978,7,8,"M"
1978,7,8,"M"
1978,7,8,"F"
1978,7,8,"M"
1978,7,8,"F"
1978,7,8,"F"
1978,7,8,"F"
1978,7,8,"F"
1978,7,8,"M"
1978,8,4,"F"
1978,8,4,"F"
1978,8,4,"F"
1978,8,4,"F"
1978,8,4,"M"
1978,8,4,"F"
1978,8,4,"M"
1978,8,4,"M"
1978,8,4,"F"
1978,8,4,"F"
1978,8,5,"M"
1978,8,5,"M"
1978,8,5,"F"
1978,8,5,"M"
1978,8,5,"F"
1978,8,5,"F"
1978,8,5,"M"
1978,8,5,"F"
1978,8,5,"F"
1978,8,5,"M"
1978,8,5,"M"
1978,8,5,
1978,8,5,"F"
1978,8,5,"F"
1978,8,5,"F"
1978,8,5,"F"
1978,8,5,"F"
1978,8,5,"M"
1978,8,5,"F"
1978,8,5,"F"
1978,9,3,"M"
1978,9,3,"M"
1978,9,3,"F"
1978,9,3,"F"
1978,9,3,"F"
1978,9,3,"F"
1978,9,3,"F"
1978,9,3,"F"
1978,9,3,"M"
1978,9,3,"F"
1978,9,3,"M"
1978,9,3,"F"
1978,9,3,"F"
1978,9,3,"F"
1978,9,3,"F"
1978,9,3,"F"
1978,9,4,"M"
1978,9,4,"F"
1978,9,4,"F"
1978,9,4,"M"
1978,9,4,"M"
1978,9,4,"F"
1978,9,4,"M"
1978,9,4,"F"
1978,9,4,"F"
1978,9,4,"F"
1978,9,4,"M"
1978,9,4,"F"
1978,9,4,"F"
1978,9,4,"F"
1978,9,4,"F"
1978,9,4,"F"
1978,9,4,"F"
1978,10,6,"F"
1978,10,6,"M"
1978,10,6,"F"
1978,10,7,"F"
1978,10,7,"M"
1978,10,7,"F"
1978,10,7,"F"
1978,10,7,"M"
1978,10,7,"M"
1978,10,7,"M"
1978,10,7,"F"
1978,10,7,"F"
1978,10,7,"F"
1978,10,7,"F"
1978,10,7,"F"
1978,10,7,"F"
1978,10,7,"F"
1978,10,8,"M"
1978,10,8,"M"
1978,10,8,"M"
1978,10,8,"F"
1978,10,8,"M"
1978,10,8,"F"
1978,10,8,"M"
1978,10,8,"F"
1978,10,8,"F"
1978,10,8,"F"
1978,10,8,"F"
1978,11,4,"F"
1978,11,4,"F"
1978,11,4,"F"
1978,11,4,"M"
1978,11,4,"F"
1978,11,4,"F"
1978,11,4,"M"
1978,11,4,"M"
1978,11,4,"M"
1978,11,4,"F"
1978,11,4,"F"
1978,11,4,"M"
1978,11,4,"F"
1978,11,5,"F"
1978,11,5,"M"
1978,11,5,"F"
1978,11,5,"M"
1978,11,5,"F"
1978,11,5,"M"
1978,11,5,"F"
1978,11,5,"F"
1978,12,2,"F"
1978,12,2,"F"
1978,12,2,"M"
1978,12,2,"F"
1978,12,2,"F"
1978,12,2,"F"
1978,12,2,"F"
1978,12,2,"F"
1978,12,2,"F"
1978,12,3,"F"
1978,12,3,"F"
1978,12,3,"M"
1978,12,3,"F"
1978,12,3,"F"
1978,12,3,"M"
1978,12,3,"M"
1978,12,3,"F"
1979,1,28,"F"
1979,1,29,"F"
1979,1,29,"M"
1979,1,29,"M"
1979,1,29,"F"
1979,1,29,"F"
1979,2,24,"F"
1979,2,24,"M"
1979,2,24,"F"
1979,2,24,"F"
1979,2,24,"F"
1979,2,24,"F"
1979,2,24,"F"
1979,2,25,"M"
1979,2,25,"M"
1979,2,25,"F"
1979,2,25,"F"
1979,2,25,"M"
1979,2,25,"M"
1979,2,25,"M"
1979,2,25,"F"
1979,3,31,"M"
1979,3,31,"F"
1979,3,31,"F"
1979,3,31,"F"
1979,3,31,"M"
1979,3,31,"M"
1979,3,31,"F"
1979,3,31,"F"
1979,3,31,"M"
1979,3,31,"M"
1979,3,31,"F"
1979,3,31,"F"
1979,3,31,"M"
1979,3,31,"F"
1979,3,31,"M"
1979,3,31,"M"
1979,3,31,"F"
1979,3,31,"F"
1979,3,31,"F"
1979,3,31,"F"
1979,3,31,"M"
1979,3,31,"F"
1979,3,31,"M"
1979,4,28,"M"
1979,4,28,"F"
1979,4,28,"F"
1979,4,28,"F"
1979,4,28,"M"
1979,4,28,"F"
1979,4,28,"M"
1979,4,28,"F"
1979,4,28,"F"
1979,4,28,"M"
1979,4,28,"M"
1979,4,28,"F"
1979,4,28,"F"
1979,4,28,"M"
1979,4,28,"F"
1979,4,28,"F"
1979,4,28,"M"
1979,4,28,"F"
1979,4,29,"M"
1979,4,29,"M"
1979,4,29,"M"
1979,4,29,"M"
1979,4,29,"M"
1979,4,29,"F"
1979,4,29,"F"
1979,4,29,"M"
1979,5,29,"F"
1979,5,29,"M"
1979,5,29,"M"
1979,5,29,"F"
1979,5,29,"M"
1979,5,29,"F"
1979,5,29,"M"
1979,5,29,"F"
1979,5,29,"F"
1979,5,29,"F"
1979,5,29,"M"
1979,5,29,"F"
1979,5,29,
1979,5,29,"F"
1979,5,29,"M"
1979,5,29,"M"
1979,5,29,"F"
1979,5,29,"F"
1979,5,29,"M"
1979,5,29,"F"
1979,5,30,"F"
1979,5,30,"F"
1979,5,30,
1979,5,30,"M"
1979,5,30,"F"
1979,5,30,"F"
1979,5,30,"M"
1979,5,30,"M"
1979,5,30,"F"
1979,5,30,"F"
1979,5,30,"M"
1979,5,30,"M"
1979,7,3,"M"
1979,7,3,"F"
1979,7,3,"M"
1979,7,3,"F"
1979,7,3,"M"
1979,7,3,"F"
1979,7,3,"M"
1979,7,3,"F"
1979,7,3,"M"
1979,7,3,"M"
1979,7,3,"M"
1979,7,3,"M"
1979,7,4,"M"
1979,7,4,"F"
1979,7,4,"M"
1979,7,4,"F"
1979,7,4,"F"
1979,7,4,"F"
1979,7,4,"M"
1979,7,4,"F"
1979,7,4,"M"
1979,7,4,"M"
1979,7,4,"M"
1979,7,24,"M"
1979,7,24,"F"
1979,7,24,"M"
1979,7,24,"F"
1979,7,25,"F"
1979,7,25,"M"
1979,7,25,"F"
1979,7,25,"M"
1979,7,25,"F"
1979,7,25,"M"
1979,7,25,"F"
1979,7,25,"M"
1979,7,25,"F"
1979,7,26,"M"
1979,7,26,"F"
1979,7,26,"M"
1979,7,26,"M"
1979,7,26,"F"
1979,8,21,"F"
1979,8,21,"M"
1979,8,21,"F"
1979,8,21,"M"
1979,8,21,"M"
1979,8,21,"F"
1979,8,22,"M"
1979,8,22,"F"
1979,8,22,"M"
1979,8,22,"M"
1979,8,22,"M"
1979,8,23,"M"
1979,8,23,"F"
1979,8,23,"M"
1979,8,23,"M"
1979,8,23,"F"
1979,8,23,"M"
1979,8,23,"M"
1979,8,23,"M"
1979,8,23,"F"
1979,9,22,"F"
1979,9,22,"M"
1979,9,22,"M"
1979,9,22,"M"
1979,9,22,"F"
1979,9,22,"F"
1979,9,22,"F"
1979,9,23,"F"
1979,9,23,"M"
1979,9,23,"F"
1979,9,23,"M"
1979,10,24,"M"
1979,10,24,"F"
1979,10,24,"F"
1979,10,24,"M"
1979,10,24,"M"
1979,10,24,"M"
1979,10,24,"F"
1979,10,24,"F"
1979,10,24,"F"
1979,10,25,"F"
1979,10,25,"F"
1979,10,25,"M"
1979,10,25,"M"
1979,10,25,"F"
1979,10,25,"M"
1979,11,17,"F"
1979,11,17,"M"
1979,11,17,"M"
1979,11,17,"F"
1979,11,17,"F"
1979,11,18,"M"
1979,11,18,"F"
1979,11,18,"F"
1979,11,18,"F"
1979,11,18,"M"
1979,11,18,"F"
1979,11,18,"M"
1979,11,18,"F"
1979,11,18,
1979,11,18,"F"
1980,1,15,"M"
1980,1,15,"F"
1980,1,15,"F"
1980,1,15,"F"
1980,1,15,"M"
1980,1,15,"F"
1980,1,15,"M"
1980,1,16,"F"
1980,1,16,"F"
1980,1,16,"M"
1980,1,16,"F"
1980,1,16,"F"
1980,2,24,"M"
1980,2,24,"M"
1980,2,24,"M"
1980,2,24,"M"
1980,2,24,"F"
1980,2,25,"M"
1980,2,25,"M"
1980,2,25,"M"
1980,2,25,"M"
1980,2,25,"M"
1980,2,25,"M"
1980,2,25,"M"
1980,2,25,"M"
1980,2,25,"M"
1980,2,25,"F"
1980,2,25,"M"
1980,2,25,"M"
1980,2,25,"M"
1980,2,25,"M"
1980,2,25,"F"
1980,3,9,"F"
1980,3,9,"M"
1980,3,9,"F"
1980,3,9,"M"
1980,3,9,
1980,3,9,"M"
1980,3,9,"M"
1980,3,9,"F"
1980,3,9,"M"
1980,3,9,"M"
1980,3,9,"M"
1980,3,9,"F"
1980,3,9,"F"
1980,3,9,"M"
1980,3,9,"M"
1980,3,9,"M"
1980,3,9,"F"
1980,3,9,"F"
1980,3,9,"M"
1980,3,9,"M"
1980,3,9,"M"
1980,3,9,"M"
1980,3,9,"M"
1980,3,9,"M"
1980,3,9,"M"
1980,3,9,"M"
1980,3,9,"M"
1980,3,9,"M"
1980,3,9,"M"
1980,3,9,"M"
1980,3,9,"F"
1980,3,9,"M"
1980,3,9,"M"
1980,3,21,"M"
1980,3,21,"M"
1980,3,21,"F"
1980,3,21,"M"
1980,3,21,"F"
1980,3,21,"F"
1980,3,21,"M"
1980,3,21,"F"
1980,3,21,"M"
1980,3,21,"F"
1980,3,21,"M"
1980,3,21,"M"
1980,3,22,"F"
1980,3,22,"F"
1980,3,22,"M"
1980,3,22,"M"
1980,3,22,"F"
1980,3,22,"F"
1980,3,22,"M"
1980,3,22,"M"
1980,3,22,"M"
1980,3,22,"M"
1980,3,22,"F"
1980,4,17,"M"
1980,4,17,"F"
1980,4,17,"M"
1980,4,17,"M"
1980,4,17,"F"
1980,4,17,"M"
1980,4,17,"F"
1980,4,17,"M"
1980,4,17,"M"
1980,4,17,"M"
1980,4,17,"F"
1980,4,17,"F"
1980,4,17,"M"
1980,4,17,"M"
1980,4,18,"M"
1980,4,18,"M"
1980,4,18,"M"
1980,4,18,"F"
1980,4,18,"F"
1980,4,18,"M"
1980,4,18,"M"
1980,4,18,"M"
1980,4,18,"F"
1980,4,18,"M"
1980,4,18,"F"
1980,4,18,"M"
1980,5,17,"F"
1980,5,17,"F"
1980,5,17,
1980,5,17,"M"
1980,5,17,"F"
1980,5,17,"M"
1980,5,17,"M"
1980,5,17,"F"
1980,5,17,"M"
1980,5,17,"M"
1980,5,17,"F"
1980,5,17,"M"
1980,5,17,"F"
1980,5,17,"M"
1980,5,17,"M"
1980,5,17,"F"
1980,5,17,"M"
1980,5,17,"M"
1980,5,17,"F"
1980,5,17,"M"
1980,5,18,"M"
1980,5,18,"M"
1980,5,18,"F"
1980,5,18,"F"
1980,5,18,"M"
1980,5,18,"F"
1980,5,18,"F"
1980,5,18,"M"
1980,5,18,"M"
1980,5,18,"M"
1980,5,18,"M"
1980,5,18,"F"
1980,5,18,"M"
1980,5,18,"M"
1980,5,18,"M"
1980,5,18,"F"
1980,5,24,
1980,5,24,"M"
1980,5,24,"F"
1980,5,24,"F"
1980,5,24,"M"
1980,5,25,"F"
1980,5,25,"F"
1980,5,25,"F"
1980,5,25,"M"
1980,5,25,"F"
1980,5,25,"M"
1980,5,25,"M"
1980,5,25,"M"
1980,5,25,"M"
1980,5,25,"F"
1980,5,25,"F"
1980,5,25,"M"
1980,5,25,"M"
1980,5,25,"F"
1980,5,25,"F"
1980,6,2,"M"
1980,6,2,
1980,6,2,"M"
1980,6,2,"F"
1980,6,22,"F"
1980,6,22,"M"
1980,6,22,"F"
1980,6,22,"M"
1980,6,22,"F"
1980,6,22,"M"
1980,6,22,"M"
1980,6,22,"M"
1980,6,22,"M"
1980,6,22,"M"
1980,6,22,"M"
1980,6,22,"M"
1980,6,22,"M"
1980,6,22,"M"
1980,6,22,"F"
1980,6,22,"F"
1980,6,22,"F"
1980,6,22,"M"
1980,6,22,"F"
1980,6,23,"F"
1980,6,23,"M"
1980,6,23,"M"
1980,6,23,"M"
1980,6,23,"M"
1980,6,23,"M"
1980,6,23,"F"
1980,6,23,"M"
1980,6,23,"M"
1980,6,23,"F"
1980,6,23,"M"
1980,6,23,"M"
1980,6,27,"M"
1980,7,21,"M"
1980,7,21,"M"
1980,7,21,"F"
1980,7,21,"M"
1980,7,21,"M"
1980,7,21,"M"
1980,7,21,"F"
1980,7,21,"F"
1980,7,21,"M"
1980,7,21,"M"
1980,7,22,"M"
1980,7,22,"M"
1980,7,22,"M"
1980,7,22,"F"
1980,7,22,"M"
1980,7,22,"M"
1980,8,13,"M"
1980,8,13,"M"
1980,8,13,"M"
1980,8,13,"M"
1980,8,13,"M"
1980,8,13,"F"
1980,8,13,"M"
1980,8,13,"M"
1980,8,13,"M"
1980,8,13,"F"
1980,8,14,"M"
1980,8,14,"M"
1980,8,14,"M"
1980,8,14,"M"
1980,8,14,"F"
1980,8,14,"M"
1980,8,14,"F"
1980,9,7,"M"
1980,9,7,"M"
1980,9,7,"M"
1980,9,7,"M"
1980,9,7,"M"
1980,9,7,"M"
1980,9,7,"M"
1980,9,7,"F"
1980,9,7,"M"
1980,9,7,"F"
1980,9,7,"F"
1980,9,7,"M"
1980,9,7,"F"
1980,9,7,"F"
1980,9,8,"M"
1980,9,8,"M"
1980,9,8,"M"
1980,9,8,"F"
1980,9,8,"F"
1980,9,8,"M"
1980,9,8,"M"
1980,10,11,"F"
1980,10,11,"M"
1980,10,11,"F"
1980,10,11,"F"
1980,10,11,"M"
1980,10,11,"F"
1980,10,11,"M"
1980,10,11,"M"
1980,10,11,"M"
1980,10,12,"M"
1980,10,12,"M"
1980,10,12,"M"
1980,10,12,"F"
1980,10,12,"F"
1980,10,12,"M"
1980,10,12,"F"
1980,10,12,"M"
1980,10,12,"F"
1980,11,8,"M"
1980,11,8,"M"
1980,11,8,"M"
1980,11,8,"M"
1980,11,8,"M"
1980,11,8,"F"
1980,11,8,"F"
1980,11,8,"F"
1980,11,8,"F"
1980,11,8,"F"
1980,11,8,"F"
1980,11,8,"M"
1980,11,9,"M"
1980,11,9,"M"
1980,11,9,"M"
1980,11,9,"F"
1980,11,9,"F"
1980,11,9,"F"
1980,11,9,"F"
1980,11,9,"F"
1980,11,9,"M"
1980,11,9,"F"
1980,11,9,"M"
1980,11,9,"M"
1980,11,9,"F"
1980,11,9,"M"
1980,11,9,"M"
1980,11,9,"M"
1980,11,9,"M"
1980,11,9,"F"
1980,11,9,"F"
1980,11,9,"F"
1980,11,9,"M"
1980,11,9,"F"
1980,12,15,"F"
1980,12,15,"M"
1980,12,15,"F"
1980,12,15,"M"
1980,12,15,"M"
1980,12,15,"M"
1980,12,15,"F"
1980,12,15,"F"
1980,12,15,"M"
1980,12,15,"F"
1980,12,15,"M"
1980,12,16,"M"
1980,12,16,"F"
1980,12,16,"M"
1980,12,16,"F"
1980,12,16,"F"
1980,12,16,"M"
1980,12,16,"F"
1980,12,16,"M"
1980,12,16,"M"
1980,12,16,"M"
1980,12,16,"M"
1980,12,16,"M"
1980,12,16,"M"
1980,12,16,"M"
1980,12,16,"M"
1980,12,16,"F"
1980,12,16,"F"
1980,12,16,"F"
1980,12,16,"F"
1980,12,16,"M"
1980,12,16,"M"
1980,12,16,"F"
1980,12,16,"F"
1981,1,11,"M"
1981,1,11,"M"
1981,1,11,"M"
1981,1,11,"F"
1981,1,11,"F"
1981,1,11,"F"
1981,1,11,"F"
1981,1,11,"M"
1981,1,11,"M"
1981,1,11,"F"
1981,1,12,"F"
1981,1,12,"M"
1981,1,12,"M"
1981,1,12,"M"
1981,1,12,"M"
1981,1,12,"M"
1981,1,12,"M"
1981,1,12,"F"
1981,1,12,"M"
1981,1,12,"F"
1981,1,12,"F"
1981,1,12,"M"
1981,1,12,"F"
1981,1,12,"M"
1981,1,12,"F"
1981,1,12,"M"
1981,1,31,"F"
1981,1,31,"M"
1981,1,31,"F"
1981,1,31,"M"
1981,1,31,"M"
1981,1,31,"M"
1981,1,31,"F"
1981,1,31,"F"
1981,1,31,"M"
1981,1,31,"F"
1981,1,31,"F"
1981,1,31,"F"
1981,1,31,"F"
1981,2,1,"M"
1981,2,1,"M"
1981,2,1,"F"
1981,2,1,"M"
1981,2,1,"M"
1981,2,1,"F"
1981,2,1,"M"
1981,2,1,"M"
1981,2,1,"M"
1981,2,1,"M"
1981,2,1,"F"
1981,3,8,"M"
1981,3,8,"F"
1981,3,8,"M"
1981,3,8,"F"
1981,3,8,"F"
1981,3,8,"F"
1981,3,8,"M"
1981,3,8,"F"
1981,3,8,"F"
1981,3,8,"M"
1981,3,8,"M"
1981,3,9,"M"
1981,3,9,"M"
1981,3,9,"M"
1981,3,9,"M"
1981,3,9,"F"
1981,3,9,"F"
1981,3,9,"F"
1981,3,9,"F"
1981,3,9,"M"
1981,3,9,"M"
1981,3,9,"M"
1981,3,9,"F"
1981,3,9,"M"
1981,3,9,"M"
1981,3,9,"M"
1981,3,9,"M"
1981,3,9,"F"
1981,3,9,"F"
1981,3,9,"M"
1981,3,9,"F"
1981,3,9,"M"
1981,3,9,"F"
1981,4,5,"F"
1981,4,5,"F"
1981,4,5,"F"
1981,4,5,"F"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"F"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"F"
1981,4,5,"F"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"F"
1981,4,5,"M"
1981,4,5,"F"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"F"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"F"
1981,4,5,"F"
1981,4,5,"F"
1981,4,5,"M"
1981,4,5,"F"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"F"
1981,4,5,"M"
1981,4,5,"M"
1981,4,5,"M"
1981,4,6,"F"
1981,4,6,"M"
1981,4,6,"F"
1981,4,6,"M"
1981,4,6,"F"
1981,4,6,"M"
1981,4,6,"M"
1981,4,6,"F"
1981,4,6,"M"
1981,4,6,"F"
1981,4,6,"M"
1981,4,6,"M"
1981,4,6,"M"
1981,4,6,"M"
1981,4,6,"M"
1981,4,6,"F"
1981,4,6,"M"
1981,4,6,"F"
1981,4,6,"M"
1981,4,6,"F"
1981,4,6,"M"
1981,4,6,"F"
1981,4,6,"M"
1981,4,6,"F"
1981,4,6,"M"
1981,4,6,"F"
1981,4,6,"M"
1981,4,6,"M"
1981,4,6,"F"
1981,4,6,"F"
1981,4,6,"M"
1981,4,6,
1981,4,6,"F"
1981,4,6,"M"
1981,4,6,"F"
1981,4,6,"M"
1981,4,6,"M"
1981,4,6,"F"
1981,4,6,"M"
1981,4,6,"M"
1981,4,6,"M"
1981,4,6,"M"
1981,4,6,"M"
1981,4,6,"M"
1981,4,6,"M"
1981,4,6,"F"
1981,5,3,"F"
1981,5,3,"M"
1981,5,3,"M"
1981,5,3,"M"
1981,5,3,"F"
1981,5,3,"M"
1981,5,3,"M"
1981,5,3,"M"
1981,5,3,"F"
1981,5,3,"F"
1981,5,3,"F"
1981,5,3,"M"
1981,5,3,"F"
1981,5,3,"M"
1981,5,4,"M"
1981,5,4,"F"
1981,5,4,"M"
1981,5,4,"F"
1981,5,4,"M"
1981,5,4,"F"
1981,5,4,"M"
1981,5,4,"M"
1981,5,4,"M"
1981,5,4,"M"
1981,5,4,"F"
1981,5,4,"F"
1981,5,4,"M"
1981,5,4,"M"
1981,5,4,"F"
1981,5,4,"F"
1981,5,4,"M"
1981,5,4,"F"
1981,5,4,"M"
1981,5,4,"M"
1981,5,4,"M"
1981,5,4,"F"
1981,5,4,"F"
1981,5,4,"F"
1981,5,4,"M"
1981,6,4,"M"
1981,6,4,"F"
1981,6,4,"M"
1981,6,4,"F"
1981,6,4,"F"
1981,6,4,"F"
1981,6,4,"M"
1981,6,4,"F"
1981,6,4,"M"
1981,6,4,"M"
1981,6,4,"F"
1981,6,4,"M"
1981,6,4,"F"
1981,6,4,"M"
1981,6,4,"F"
1981,6,4,"F"
1981,6,4,"M"
1981,6,4,"M"
1981,6,4,"F"
1981,6,4,"F"
1981,6,5,"M"
1981,6,5,"M"
1981,6,5,"M"
1981,6,5,"F"
1981,6,5,"F"
1981,6,5,"F"
1981,6,5,"M"
1981,6,5,"F"
1981,6,5,"M"
1981,6,5,"F"
1981,6,5,"M"
1981,6,5,"M"
1981,6,5,"F"
1981,6,5,"M"
1981,6,8,
1981,6,28,"M"
1981,7,7,"M"
1981,7,7,"M"
1981,7,7,"M"
1981,7,7,"M"
1981,7,7,"M"
1981,7,7,"F"
1981,7,7,"M"
1981,7,7,"M"
1981,7,7,"M"
1981,7,8,"F"
1981,7,8,"M"
1981,7,8,"M"
1981,7,8,"M"
1981,7,8,"F"
1981,7,8,"F"
1981,7,8,"M"
1981,7,8,"F"
1981,7,8,"F"
1981,7,8,"M"
1981,7,8,"F"
1981,7,8,"F"
1981,7,8,"M"
1981,7,8,"F"
1981,7,8,"M"
1981,7,30,"M"
1981,7,30,"M"
1981,7,30,"F"
1981,7,30,"M"
1981,7,30,"F"
1981,7,30,"M"
1981,7,30,"F"
1981,7,30,"M"
1981,7,30,"F"
1981,7,31,"M"
1981,7,31,"M"
1981,7,31,"M"
1981,7,31,"M"
1981,8,30,"F"
1981,8,30,"F"
1981,8,30,"M"
1981,8,30,"F"
1981,8,30,"F"
1981,8,30,"M"
1981,8,30,
1981,8,30,"M"
1981,8,31,"M"
1981,8,31,"M"
1981,8,31,"M"
1981,9,29,"M"
1981,9,29,"F"
1981,9,29,"F"
1981,9,30,"F"
1981,9,30,"M"
1981,9,30,"M"
1981,10,1,"F"
1981,10,1,"F"
1981,10,1,"F"
