"weight","sex","hindfoot_length","species_id"
,,,"DS"
,"M",49,"DS"
124,"F",49,"DS"
114,"F",49,"DS"
44,"M",36,"DM"
48,"M",38,"DM"
,"F",47,"DS"
44,"F",39,"DM"
132,"F",49,"DS"
,,,"PF"
137,"F",46,"DS"
,,,"OT"
39,"M",35,"DM"
56,"F",35,"DM"
35,"F",20,"OL"
,,,"DM"
,,,"DM"
197,,,"NL"
22,"F",18,"OT"
25,"M",20,"OT"
,,,
154,"M",55,"DS"
,,,
49,"M",38,"DM"
44,"F",36,"DM"
35,"F",38,"DM"
36,"F",37,"DM"
39,"F",35,"DM"
133,"F",50,"DS"
50,"M",38,"DM"
43,"M",36,"DM"
40,"F",35,"DM"
45,"M",38,"DM"
44,"M",38,"DM"
228,"M",32,"NL"
144,"F",52,"DS"
46,"F",37,"DM"
48,"M",35,"DM"
7,"F",15,"PF"
45,"M",38,"DM"
8,"M",14,"PF"
133,"F",47,"DS"
40,"F",37,"DM"
232,"M",32,"NL"
128,"F",49,"DS"
153,"M",54,"DS"
22,"F",21,"OT"
21,"F",20,"OT"
53,"M",37,"DM"
,,,"NL"
8,"F",15,"PF"
25,"M",18,"OT"
43,"M",35,"DM"
43,"F",35,"DM"
38,"M",21,"OL"
42,"F",35,"DM"
26,"M",21,"OT"
146,"F",50,"DS"
25,"F",20,"OT"
28,"M",20,"PE"
8,"M",15,"PF"
29,"F",,"PE"
122,"M",49,"DS"
,,,
,,,
137,"M",52,"DS"
131,"M",49,"DS"
125,"F",49,"DS"
,"M",,"DM"
,"F",,"DS"
,,,"OT"
,"F",,"PF"
43,"M",35,"DM"
,"F",,"DS"
,,,"PF"
69,"F",,"DS"
141,"F",48,"DS"
138,"M",53,"DS"
43,"M",36,"DM"
124,"F",50,"DS"
,,,"DM"
,"M",,"OT"
43,"F",37,"DM"
,,,"RM"
45,"F",37,"DM"
46,"M",36,"DM"
,"F",,"DM"
43,"F",36,"DM"
49,"M",37,"DM"
,,,"OL"
47,"M",35,"DM"
,"M",,"DS"
,"M",35,"DM"
,"F",,"DS"
,"F",,"OT"
,"F",,"DM"
26,"M",20,"OT"
,,,
152,"M",49,"DS"
44,"F",37,"DM"
48,"M",36,"DM"
29,"M",15,"OT"
44,"F",,"DM"
49,"M",36,"DM"
45,"M",35,"DM"
51,"F",,"DM"
57,"M",35,"DO"
,"M",37,"DM"
134,"F",47,"DS"
44,"F",37,"DM"
30,"F",,"OL"
35,"F",16,"OT"
48,"M",37,"DM"
146,"F",,"DS"
37,"F",,"DM"
,,,
,,,
46,"M",36,"DM"
,,,
110,"F",47,"DS"
,,19,"OT"
,"M",33,"DM"
,"M",36,"DM"
,"F",18,"OT"
,"M",,"NL"
,"F",36,"DM"
,"M",,"PF"
,"M",19,"PE"
,"M",,"OL"
,"M",48,"DS"
,"M",18,"PE"
,"M",36,"DM"
,"F",21,"PE"
,"F",37,"DM"
,"M",20,"OT"
,"F",35,"DM"
,,,"NL"
,"M",,"DS"
,"F",,"PF"
,"M",35,"DM"
,"F",49,"DS"
,"F",36,"DM"
,"M",37,"DM"
,"F",32,"NL"
,"F",20,"OT"
,"F",,"DM"
,"M",34,"DM"
,"F",49,"DS"
,"M",48,"DS"
,"F",,"DS"
,,,"SS"
,"M",50,"DS"
,"M",35,"DM"
,"F",36,"DM"
,"F",35,"DM"
,"M",,"DM"
,,,"OL"
,,,
26,"M",37,"DM"
44,"M",35,"DM"
,,,"DM"
48,"M",37,"DM"
39,"M",36,"DM"
44,"M",37,"DM"
45,"M",37,"DM"
27,"M",20,"OT"
36,"M",36,"DM"
,,,"SA"
51,"M",,"DM"
45,"F",37,"DM"
47,"M",37,"DM"
90,"F",47,"DS"
23,"M",,"OT"
49,"M",39,"DM"
131,"M",52,"DS"
114,"F",50,"DS"
42,"M",36,"DM"
148,"M",52,"DS"
76,"F",50,"DS"
141,"M",53,"DS"
42,"F",34,"DM"
121,"F",49,"DS"
44,"M",35,"DM"
55,"F",33,"DO"
133,"M",50,"DS"
142,"M",50,"DS"
142,"F",48,"DS"
46,"F",36,"DM"
50,"F",35,"DM"
142,"F",46,"DS"
,,,"DM"
84,"F",48,"DS"
42,"M",34,"DM"
142,"F",47,"DS"
118,"F",47,"DS"
43,"F",35,"DM"
132,"F",51,"DS"
75,"F",47,"DS"
49,"F",,"DM"
,,,
,,,
,,,"SA"
168,"M",55,"DS"
43,"F",38,"DM"
84,"F",46,"DS"
,"F",37,"DM"
87,"F",49,"DS"
117,"F",,"DS"
42,"F",35,"DM"
41,"F",34,"DM"
140,"F",48,"DS"
40,"F",33,"DM"
45,"M",38,"DM"
225,"M",,"NL"
18,"M",20,"OT"
47,"M",36,"DM"
48,,,"DM"
89,"M",48,"DS"
51,"M",38,"DM"
,,,
,,,
8,"M",14,"PF"
47,"M",38,"DM"
149,"M",53,"DS"
124,"F",49,"DS"
73,"F",48,"DS"
48,"M",37,"DM"
139,"M",51,"DS"
41,"M",37,"DM"
123,"M",,"DS"
41,"F",38,"DM"
114,"F",50,"DS"
59,"F",46,"DS"
204,"M",32,"NL"
90,"F",,"DS"
45,"M",35,"DM"
212,"M",32,"NL"
43,"M",36,"DM"
91,"F",48,"DS"
50,"M",46,"DS"
44,"M",36,"DM"
113,"F",49,"DS"
36,"M",36,"DM"
90,"F",,"DS"
50,"F",37,"DM"
,,,"SS"
,,,
9,"F",13,"OT"
,"M",,"OL"
29,"F",19,"OL"
137,"M",52,"DS"
57,"M",48,"DS"
121,"F",,"DS"
31,"F",37,"DM"
41,"F",37,"DM"
37,"M",37,"DM"
83,"F",50,"DS"
174,"F",33,"NL"
116,"F",49,"DS"
74,"F",,"DS"
130,"M",52,"DS"
,"F",50,"DS"
40,"M",37,"DM"
212,"F",33,"NL"
41,"M",36,"DM"
83,"F",50,"DS"
,,,
,,,
48,"M",,"DM"
41,"F",35,"DM"
118,"M",52,"DS"
22,"F",20,"PM"
102,"M",49,"DS"
42,"M",36,"DM"
182,"F",,"NL"
29,"F",34,"DM"
23,"M",34,"DM"
138,"F",50,"DS"
131,"M",49,"DS"
41,"M",35,"DM"
115,"F",50,"DS"
121,"F",48,"DS"
38,"F",35,"DM"
126,"M",50,"DS"
120,"F",50,"DS"
15,"M",21,"PP"
29,"F",35,"DM"
43,"F",33,"DM"
41,"M",37,"DM"
68,"F",48,"DS"
83,"M",,"DS"
,"M",35,"DM"
97,"F",52,"DS"
21,"M",33,"DM"
21,"M",34,"DM"
44,"F",36,"DM"
18,"M",33,"DO"
40,"M",36,"DM"
41,"F",37,"DM"
129,"F",48,"DS"
148,"M",,"DS"
42,"M",37,"DM"
41,"F",,"DM"
24,"F",18,"OT"
108,"F",50,"DS"
160,"M",52,"DS"
30,"F",21,"OT"
54,"M",35,"DO"
7,"F",15,"PF"
125,"F",48,"DS"
100,"M",50,"DS"
21,"M",34,"DM"
49,"M",37,"DM"
35,"M",36,"DM"
37,"M",35,"DO"
64,"F",48,"DS"
131,"F",,"DS"
54,"M",48,"DS"
44,"M",36,"DM"
90,"F",46,"DS"
39,"F",37,"DM"
13,"F",20,"PP"
114,"F",47,"DS"
,,,
,,,
90,"M",,"DS"
46,"M",38,"DM"
110,"F",51,"DS"
119,"M",51,"DS"
29,"M",36,"DM"
48,"M",32,"DM"
,,,"SS"
124,"F",50,"DS"
84,"F",49,"DS"
43,"F",36,"DM"
43,"F",33,"DM"
40,"M",37,"DM"
120,"F",49,"DS"
55,"F",34,"DO"
29,"F",21,"OL"
26,"F",34,"DM"
115,"F",52,"DS"
45,"M",36,"DM"
70,"M",47,"DS"
123,"F",49,"DS"
16,"F",33,"DM"
42,"F",36,"DM"
125,"F",47,"DS"
19,"M",,"DM"
55,"M",36,"DO"
117,"F",47,"DS"
133,"M",50,"DS"
36,"M",36,"DM"
71,"F",,"DS"
29,"M",35,"DM"
99,"F",49,"DS"
7,"M",13,"PF"
8,"M",15,"PF"
39,"F",,"DM"
135,"F",32,"NL"
94,"F",,"DS"
100,"F",47,"DS"
98,"F",49,"DS"
43,"F",35,"DM"
8,"F",15,"PF"
23,"M",34,"DO"
12,"M",18,"OT"
26,"M",,"DM"
124,"M",51,"DS"
15,"M",21,"PP"
84,"F",51,"DS"
,,,
,,,
,,,
,,,
24,"M",36,"DM"
,,,"DS"
122,"M",50,"DS"
200,"M",,"NL"
17,"M",23,"PP"
46,"M",38,"DM"
149,"M",54,"DS"
23,"F",33,"DM"
8,"M",16,"PF"
136,"F",48,"DS"
102,"M",49,"DS"
122,"F",51,"DS"
40,"F",34,"DM"
71,"F",46,"DS"
42,"F",34,"DM"
130,"M",,"SS"
160,"M",53,"DS"
82,"F",50,"DS"
134,"M",54,"DS"
38,"M",37,"DM"
40,"F",37,"DM"
37,"F",32,"DM"
29,"F",20,"OT"
107,"F",47,"DS"
100,"M",52,"DS"
32,"M",46,"DS"
38,"M",35,"DO"
73,"F",50,"DS"
134,"F",,"DS"
119,"F",49,"DS"
50,"F",36,"DM"
43,"M",36,"DM"
59,"F",49,"DS"
48,"M",38,"DM"
58,"M",49,"DS"
41,"M",37,"DM"
81,"F",49,"DS"
93,"M",50,"DS"
28,"M",35,"DM"
44,"M",22,"OL"
28,"F",19,"OT"
24,"F",36,"DM"
232,"M",32,"NL"
,,,
127,"F",51,"DS"
16,"M",22,"PP"
44,"F",38,"DM"
35,"M",35,"DM"
17,"M",31,"DM"
122,"F",51,"DS"
122,"M",52,"DS"
32,"F",33,"DM"
48,"F",37,"DM"
95,"M",53,"DS"
45,"M",37,"DM"
51,"M",35,"DO"
47,"M",36,"DM"
119,"F",50,"DS"
124,"F",49,"DS"
87,"F",51,"DS"
85,"F",50,"DS"
,"F",35,"DM"
36,"M",37,"DM"
123,"F",49,"DS"
111,"F",50,"DS"
39,"F",33,"DM"
27,"M",35,"DM"
105,"F",52,"DS"
132,"M",51,"DS"
45,"F",36,"DM"
96,"F",51,"DS"
40,"F",35,"DM"
120,"F",48,"DS"
43,"M",37,"DM"
46,"F",38,"DM"
43,"F",37,"DM"
86,"F",49,"DS"
8,"M",16,"PF"
34,"M",37,"DM"
106,"M",52,"DS"
22,"F",19,"OT"
29,"F",20,"OL"
98,"F",50,"DS"
33,"M",35,"DO"
,,,
,,,
,,,
,,,
46,"M",38,"DM"
12,"F",21,"PP"
130,"M",50,"DS"
10,"F",23,"PP"
106,"M",50,"DS"
39,"F",36,"DM"
113,"M",33,"NL"
45,"F",38,"DM"
115,"F",34,"NL"
36,"F",36,"DM"
24,"M",36,"DM"
120,"F",51,"DS"
190,"M",34,"NL"
10,"M",23,"PP"
48,"M",38,"DM"
29,"F",35,"DM"
131,"F",51,"DS"
34,"F",36,"DM"
101,"M",51,"DS"
37,"F",34,"DM"
47,"F",36,"DM"
133,"M",52,"DS"
63,"M",51,"DS"
46,"M",36,"DM"
81,"F",49,"DS"
71,"M",50,"DS"
65,"F",,"DS"
80,"F",49,"DS"
130,"F",,"DS"
47,"F",38,"DM"
118,"F",51,"DS"
91,"M",51,"DS"
120,"F",49,"DS"
19,"M",20,"PE"
45,"M",37,"DM"
14,"F",19,"PE"
122,"F",51,"DS"
37,"M",35,"DM"
36,"F",35,"DM"
19,,,"OT"
95,"F",49,"DS"
18,"M",22,"PP"
17,"M",20,"OL"
123,"F",48,"DS"
189,"M",33,"NL"
17,"F",30,"DM"
50,"M",38,"DM"
126,"M",53,"DS"
44,"F",33,"DM"
8,"M",15,"PF"
44,"M",38,"DM"
13,"F",22,"PP"
39,"M",37,"DM"
115,"F",52,"DS"
38,"M",35,"DO"
138,"M",51,"DS"
179,"F",33,"NL"
21,"F",,"PM"
105,"M",52,"DS"
43,"F",35,"DM"
14,"M",19,"PP"
32,"M",35,"DM"
36,"F",36,"DM"
40,"M",38,"DM"
36,"M",37,"DM"
19,"M",20,"PM"
139,"F",47,"DS"
20,"M",20,"OL"
108,"F",52,"DS"
12,"M",19,"OT"
39,"F",37,"DM"
149,"F",32,"NL"
,,,
43,"F",38,"DM"
48,"M",38,"DM"
33,"F",36,"DM"
165,"M",52,"DS"
41,"F",37,"DM"
112,"M",49,"DS"
35,"F",36,"DM"
100,"F",50,"DS"
,"M",48,"DS"
34,"F",34,"DM"
88,"F",48,"DS"
31,"F",36,"DM"
123,"F",49,"DS"
6,"F",16,"PF"
137,"M",53,"DS"
,"F",,"DS"
199,"M",34,"NL"
,"F",47,"DS"
96,"M",48,"DS"
41,"F",34,"DM"
196,"F",31,"NL"
100,"M",51,"DS"
40,"M",37,"DM"
130,,,"DS"
98,"F",49,"DS"
34,"F",37,"DM"
29,"F",21,"OL"
,"M",22,"OL"
36,"F",33,"DM"
36,"M",35,"DM"
49,"M",38,"DM"
30,"M",35,"DM"
83,"F",48,"DS"
14,"F",21,"PP"
88,"F",50,"DS"
47,"F",37,"DM"
43,"F",36,"DM"
136,"F",51,"DS"
82,"F",47,"DS"
33,"F",,"OL"
70,"M",51,"DS"
119,"F",50,"DS"
,"M",22,"OL"
115,"F",51,"DS"
,,,
,,,
,,,
,"M",34,"DM"
33,"F",21,"OL"
158,"F",,"NL"
46,"M",37,"DM"
107,"M",51,"DS"
126,"M",51,"DS"
19,"M",23,"PP"
24,"F",30,"PE"
45,"F",35,"DM"
189,"M",,"NL"
122,"F",52,"DS"
39,"F",37,"DM"
31,"F",35,"DM"
30,"M",36,"DM"
124,"F",51,"DS"
54,"M",35,"DO"
133,"F",51,"DS"
122,"F",51,"DS"
110,"F",,"DS"
7,"M",16,"PF"
52,"M",39,"DM"
49,"M",39,"DM"
8,"M",16,"PF"
19,"M",21,"PE"
43,"M",38,"DM"
181,"F",31,"NL"
14,"F",22,"PP"
24,"M",20,"OT"
128,"F",50,"DS"
136,"M",51,"DS"
100,"F",50,"DS"
44,"F",34,"DM"
13,"M",22,"PP"
40,"F",36,"DM"
41,"M",38,"DM"
6,"M",16,"PF"
127,"M",51,"DS"
7,"M",15,"PF"
24,"M",21,"OL"
134,"F",49,"DS"
20,"F",20,"OT"
15,"M",22,"PP"
,"M",,"OT"
125,"F",50,"DS"
100,"F",50,"DS"
13,"F",20,"PE"
37,"M",34,"DM"
40,"F",35,"DM"
114,"F",47,"DS"
110,"F",52,"DS"
41,"M",38,"DM"
8,"M",15,"PF"
47,"M",38,"DM"
,,,
,,,
141,"F",34,"NL"
46,"F",38,"DM"
40,"F",36,"DM"
36,"M",21,"OL"
107,"M",52,"DS"
39,"F",37,"DM"
27,"M",21,"OT"
13,"F",21,"PP"
,,,"DM"
47,"M",36,"DM"
134,"F",48,"DS"
197,"M",32,"NL"
39,"F",36,"DM"
86,"F",48,"DS"
15,"F",20,"PP"
